appid,short_description
587,"In 2097, life is discovered on Mars. When your mission of first contact becomes trapped by a cave-in, you must master the alien ecosystem to survive. Soon you stumble upon more than anyone expected, and with time running out, you will make a decision that determines the fate of a lost planet."
588,"Combining action and strategy in a unique way, Sang-Froid: Tales of Werewolves transports you into an epic folktale co-written with best-selling Canadian author Bryan Perro (Amos Daragon, Wariwulf), in which two feuding brothers will have to put aside their differences to save their sister, who is pursued by the Devil himself!"
589,"Travel across Europe as king of the road, a trucker who delivers important cargo across impressive distances! With dozens of cities to explore from the UK, Belgium, Germany, Italy, the Netherlands, Poland, and many more, your endurance, skill and speed will all be pushed to their limits."
590,"Haven't heard of Dragon's Lair?! Well, you play the heroic Dirk the Daring, a valiant knight on a quest to rescue the fair princess from the clutches of an evil dragon! Originally released in the summer of 1983, Dragon's Lair has solidified itself as a cultural icon in gaming."
591,10000000: The Dungeon Crawling Matching Game
592,"Mickey Mouse returns to star in Castle of Illusion, a fantastical reimagining of the Sega Genesis classic."
593,"“he Who Fears Being Conquered Is Sure Of Defeat.”The war-game March of the Eagles focuses on the dramatic conflicts of Europe during 1805 to 1820. Explore one of the defining periods in European history with this experience crafted by the masters of Grand Strategy, Paradox Development Studio."
594,"Retrovirus is a six degrees of freedom shooter which sends players into the depths of a computer on a search and destroy mission against an invasive virus. Retrovirus is being created by Cadenza Interactive, the indie studio behind the popular tower defense game Sol Survivor."
595,"Castle Story is a creative voxel-based strategy game in which you can build castles one brick at a time using an army of little creatures called Bricktrons. Design and build your own castles, expand your territory in a vast landscape and defend your Bricktrons against onslaughts of hostile creatures."
596,"Shoot, blow sh!t up, fly or bark orders in the ultimate Free-to-Play, large scale, multiplayer, shooter experience. Thousands of players in multiple battles fighting one massive war of nations. The first to capture 15 cities takes the glory."
597,"Delivering a visceral WWII gaming experience, Company of Heroes redefines RTS by bringing the sacrifice of heroic soldiers, war-ravaged environments, and dynamic battlefields to life. Please visit the &quot;Company of Heroes - Legacy Edition&quot; page for additional user reviews."
598,"Remember Me™ is a 3rd person action adventure where players take on the role of Nilin, a former elite memory hunter with the ability to break into people’s minds and steal or even alter their memories."
599,"A modern take on the 16-bit era, A Valley Without Wind 2 blends a variety of mechanics across multiple genres, seamlessly bringing together the best qualities of old-school platform-shooters and turn-based strategy games."
600,"Cubemen 2 is a fast paced, action packed, original 3D Strategy game where you use your little Cubemen units to defend and attack enemies in a range of awesome game modes including CTF, Skirmish, Territory and more."
601,"Enter the Samurai Afterlife and join forces with vibrant ghost-samurai warriors, magical animal monks, and mustachioed samurai generals. It's fast-paced turn-based strategy inspired by Advance Wars, and supercharged with fighting-game flare!"
602,"Dungeon Hearts fuses the strategy and pattern matching of puzzle games with the kinetic pace of action games. Align magical runes as they flow along the Fatestream to attack, defend, and conjure magic in frenetic battles against a bestiary of fantastic creatures out to use those same runes against you."
603,"Dream is an exploration game that takes place within the subconscious mind of Howard Phillips, a young man whose waking hours are tedious and dull, but whose dreams are lucid and powerful."
604,"ShootMania the FPS “Powered By Players”ShootMania Storm is revolutionizing the multiplayer FPS by adding a community dimension and unlimited replayability. Developed by the Nadeo studio, renowned for community racing game, TrackMania, ShootMania Storm boasts quick-fire matches and epic battles, where only your talent will distinguish you..."
605,"Can you put the world’s most determined stuntman back into the limelight? Combo, boost and pull ludicrous stunts as Joe attempts to race his way back into the record books in over 100 eye-popping levels. Leap school buses full of screaming kids and pools of ravenous sharks! Dodge spikes and mousetraps!"
606,"What happens when DLC practices go too far? An indie developer makes a game that mocks the industry and its foibles, that's what! Defeat the bad guy, save the world and get the girl! But first you'll need to find coins to buy DLC to enable animation, sound and even pausing."
607,"The Age of Decadence is a turn-based, hardcore role-playing game set in a low magic, post-apocalyptic fantasy world. The game features a detailed skill-based character system, multiple skill-based ways to handle quests, choices &amp; consequences, and extensive dialogue trees."
608,"Incredipede is a puzzle game that celebrates the vast diversity of life in the world. The game follows Quozzle, a lone Incredipede on a quest to rescue her sisters. She has a unique ability to grow new arms and legs wherever she needs them, transforming into a snake, a spider, a horse, a monkey - anything you can imagine."
